abastece,segmento,n,categoria,prop,base,semana
Tiendas de barrio,Municipios capitales y El Alto,1,Tiendas de barrio y ferias,0.10964912280701754,abastece,Semana 3
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.10964912280701754,abastece,Semana 3
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.10964912280701754,abastece,Semana 3
Directo de productores,Municipios capitales y El Alto,1,Directo de productores,0.10964912280701754,abastece,Semana 3
Comerciantes informales asentadas en las calles,Municipios capitales y El Alto,1,Comerciantes informales asentadas en las calles,0.10964912280701754,abastece,Semana 3
Pedidos por aplicación,Municipios capitales y El Alto,1,Pedidos por aplicación,0.10964912280701754,abastece,Semana 3
Directo de productores,Municipios capitales y El Alto,1,Directo de productores,0.10964912280701754,abastece,Semana 3
En la zona de obrajes hay una señora vendiendo en cada esquina,Municipios capitales y El Alto,1,En la zona de obrajes hay una señora vendiendo en cada esquina,0.10964912280701754,abastece,Semana 3
Ferias,Municipios capitales y El Alto,1,Tiendas de barrio y ferias,0.10964912280701754,abastece,Semana 3
Ferias,Ciudades intermedias,1,Tiendas de barrio y ferias,0.10964912280701754,abastece,Semana 3
Ferias,Municipios capitales y El Alto,72,Tiendas de barrio y ferias,7.894736842105263,abastece,Semana 3
Ferias,Ciudades intermedias,16,Tiendas de barrio y ferias,1.7543859649122806,abastece,Semana 3
Ferias,Municipios rurales,10,Tiendas de barrio y ferias,1.0964912280701753,abastece,Semana 3
Mercado Barrial,Municipios capitales y El Alto,324,Mercados,35.526315789473685,abastece,Semana 3
Mercado Barrial,Ciudades intermedias,25,Mercados,2.7412280701754383,abastece,Semana 3
Mercado Barrial,Municipios rurales,6,Mercados,0.6578947368421052,abastece,Semana 3
Directo de productores,Municipios capitales y El Alto,1,Directo de productores,0.10964912280701754,abastece,Semana 3
Mercado de otro Municipio,Municipios capitales y El Alto,3,Mercados,0.3289473684210526,abastece,Semana 3
Mercado de otro Municipio,Municipios rurales,1,Mercados,0.10964912280701754,abastece,Semana 3
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.10964912280701754,abastece,Semana 3
Camiones o vendedores en vehiculos,Municipios rurales,1,Venta móvil,0.10964912280701754,abastece,Semana 3
Mercado Municipal,Municipios capitales y El Alto,160,Mercados,17.543859649122805,abastece,Semana 3
Mercado Municipal,Ciudades intermedias,24,Mercados,2.631578947368421,abastece,Semana 3
Mercado Municipal,Municipios rurales,10,Mercados,1.0964912280701753,abastece,Semana 3
Mercado Barrial,Municipios capitales y El Alto,1,Mercados,0.10964912280701754,abastece,Semana 3
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.10964912280701754,abastece,Semana 3
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.10964912280701754,abastece,Semana 3
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.10964912280701754,abastece,Semana 3
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.10964912280701754,abastece,Semana 3
Producción propia,Municipios capitales y El Alto,2,Producción propia,0.21929824561403508,abastece,Semana 3
Producción propia,Ciudades intermedias,1,Producción propia,0.10964912280701754,abastece,Semana 3
Producción propia,Municipios rurales,1,Producción propia,0.10964912280701754,abastece,Semana 3
Directo de productores,Municipios capitales y El Alto,1,Directo de productores,0.10964912280701754,abastece,Semana 3
Pedidos por aplicación,Ciudades intermedias,1,Pedidos por aplicación,0.10964912280701754,abastece,Semana 3
Tiendas de barrio,Municipios capitales y El Alto,1,Tiendas de barrio y ferias,0.10964912280701754,abastece,Semana 3
Pedidos por aplicación,Ciudades intermedias,1,Pedidos por aplicación,0.10964912280701754,abastece,Semana 3
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.10964912280701754,abastece,Semana 3
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.10964912280701754,abastece,Semana 3
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.10964912280701754,abastece,Semana 3
Supermercado,Municipios capitales y El Alto,20,Supermercados,2.1929824561403506,abastece,Semana 3
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.10964912280701754,abastece,Semana 3
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.10964912280701754,abastece,Semana 3
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.10964912280701754,abastece,Semana 3
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.10964912280701754,abastece,Semana 3
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.10964912280701754,abastece,Semana 3
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.10964912280701754,abastece,Semana 3
Supermercado,Municipios capitales y El Alto,7,Supermercados,0.7675438596491228,abastece,Semana 3
Tiendas de barrio,Municipios capitales y El Alto,158,Tiendas de barrio y ferias,17.324561403508774,abastece,Semana 3
Tiendas de barrio,Ciudades intermedias,24,Tiendas de barrio y ferias,2.631578947368421,abastece,Semana 3
Tiendas de barrio,Municipios rurales,12,Tiendas de barrio y ferias,1.3157894736842104,abastece,Semana 3
Ferias,Municipios capitales y El Alto,1,Tiendas de barrio y ferias,0.10964912280701754,abastece,Semana 3
Directo de productores,Municipios capitales y El Alto,1,Directo de productores,0.10964912280701754,abastece,Semana 3
Pedidos por aplicación,Municipios capitales y El Alto,1,Pedidos por aplicación,0.10964912280701754,abastece,Semana 3
Camiones o vendedores en vehiculos,Ciudades intermedias,1,Venta móvil,0.10964912280701754,abastece,Semana 3
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.10964912280701754,abastece,Semana 3
