abastece,segmento,n,categoria,prop,base,semana
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.0665335994677312,abastece,Semana 4
Ferias,Municipios rurales,1,Tiendas de barrio y ferias,0.0665335994677312,abastece,Semana 4
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.0665335994677312,abastece,Semana 4
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.0665335994677312,abastece,Semana 4
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.0665335994677312,abastece,Semana 4
Pedidos por aplicación,Municipios capitales y El Alto,1,Pedidos por aplicación,0.0665335994677312,abastece,Semana 4
Ferias,Municipios capitales y El Alto,112,Tiendas de barrio y ferias,7.451763140385895,abastece,Semana 4
Ferias,Ciudades intermedias,17,Tiendas de barrio y ferias,1.1310711909514306,abastece,Semana 4
Ferias,Municipios rurales,10,Tiendas de barrio y ferias,0.665335994677312,abastece,Semana 4
Ferias,Municipios capitales y El Alto,1,Tiendas de barrio y ferias,0.0665335994677312,abastece,Semana 4
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.0665335994677312,abastece,Semana 4
Producción propia,Municipios capitales y El Alto,1,Producción propia,0.0665335994677312,abastece,Semana 4
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.0665335994677312,abastece,Semana 4
Mercado Barrial,Municipios capitales y El Alto,1,Mercados,0.0665335994677312,abastece,Semana 4
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.0665335994677312,abastece,Semana 4
Mercado Barrial,Municipios capitales y El Alto,460,Mercados,30.605455755156353,abastece,Semana 4
Mercado Barrial,Ciudades intermedias,33,Mercados,2.19560878243513,abastece,Semana 4
Mercado Barrial,Municipios rurales,8,Mercados,0.5322687957418496,abastece,Semana 4
Mercado Barrial,Municipios capitales y El Alto,1,Mercados,0.0665335994677312,abastece,Semana 4
Mercado Barrial,Municipios capitales y El Alto,1,Mercados,0.0665335994677312,abastece,Semana 4
Mercado Barrial,Municipios capitales y El Alto,1,Mercados,0.0665335994677312,abastece,Semana 4
Mercado de otro Municipio,Municipios capitales y El Alto,4,Mercados,0.2661343978709248,abastece,Semana 4
Mercado de otro Municipio,Ciudades intermedias,10,Mercados,0.665335994677312,abastece,Semana 4
Mercado de otro Municipio,Municipios rurales,9,Mercados,0.5988023952095809,abastece,Semana 4
Mercado Municipal,Municipios rurales,1,Mercados,0.0665335994677312,abastece,Semana 4
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.0665335994677312,abastece,Semana 4
Camiones o vendedores en vehiculos,Ciudades intermedias,1,Venta móvil,0.0665335994677312,abastece,Semana 4
Mercado Municipal,Municipios capitales y El Alto,240,Mercados,15.968063872255488,abastece,Semana 4
Mercado Municipal,Ciudades intermedias,61,Mercados,4.058549567531603,abastece,Semana 4
Mercado Municipal,Municipios rurales,25,Mercados,1.66333998669328,abastece,Semana 4
Mercado Municipal,Municipios capitales y El Alto,1,Mercados,0.0665335994677312,abastece,Semana 4
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.0665335994677312,abastece,Semana 4
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,2,Venta móvil,0.1330671989354624,abastece,Semana 4
Camiones o vendedores en vehiculos,Ciudades intermedias,1,Venta móvil,0.0665335994677312,abastece,Semana 4
Ferias,Municipios capitales y El Alto,1,Tiendas de barrio y ferias,0.0665335994677312,abastece,Semana 4
Pedidos por aplicación,Municipios rurales,1,Pedidos por aplicación,0.0665335994677312,abastece,Semana 4
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.0665335994677312,abastece,Semana 4
Mercado Municipal,Municipios capitales y El Alto,1,Mercados,0.0665335994677312,abastece,Semana 4
Pedidos por aplicación,Municipios capitales y El Alto,1,Pedidos por aplicación,0.0665335994677312,abastece,Semana 4
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.0665335994677312,abastece,Semana 4
Pedidos por aplicación,Municipios capitales y El Alto,1,Pedidos por aplicación,0.0665335994677312,abastece,Semana 4
Producción propia,Municipios capitales y El Alto,2,Producción propia,0.1330671989354624,abastece,Semana 4
Producción propia,Ciudades intermedias,5,Producción propia,0.332667997338656,abastece,Semana 4
Producción propia,Municipios rurales,3,Producción propia,0.19960079840319359,abastece,Semana 4
Supermercado,Municipios capitales y El Alto,3,Supermercados,0.19960079840319359,abastece,Semana 4
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.0665335994677312,abastece,Semana 4
Supermercado,Municipios capitales y El Alto,2,Supermercados,0.1330671989354624,abastece,Semana 4
Supermercado,Municipios capitales y El Alto,22,Supermercados,1.4637391882900865,abastece,Semana 4
Supermercado,Municipios rurales,1,Supermercados,0.0665335994677312,abastece,Semana 4
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.0665335994677312,abastece,Semana 4
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.0665335994677312,abastece,Semana 4
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.0665335994677312,abastece,Semana 4
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.0665335994677312,abastece,Semana 4
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.0665335994677312,abastece,Semana 4
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.0665335994677312,abastece,Semana 4
Supermercado,Municipios capitales y El Alto,1,Supermercados,0.0665335994677312,abastece,Semana 4
Supermercado,Municipios capitales y El Alto,9,Supermercados,0.5988023952095809,abastece,Semana 4
Tiendas de barrio,Municipios capitales y El Alto,1,Tiendas de barrio y ferias,0.0665335994677312,abastece,Semana 4
Tiendas de barrio,Municipios capitales y El Alto,286,Tiendas de barrio y ferias,19.028609447771125,abastece,Semana 4
Tiendas de barrio,Ciudades intermedias,90,Tiendas de barrio y ferias,5.9880239520958085,abastece,Semana 4
Tiendas de barrio,Municipios rurales,49,Tiendas de barrio y ferias,3.260146373918829,abastece,Semana 4
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.0665335994677312,abastece,Semana 4
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.0665335994677312,abastece,Semana 4
Camiones o vendedores en vehiculos,Municipios capitales y El Alto,1,Venta móvil,0.0665335994677312,abastece,Semana 4
