segmento,dificultades,n,prop,base,semana
Municipios capitales y El Alto,Algunos productos ya no están disponibles,418,17.681895093062604,dificultades,Semana 2
Municipios capitales y El Alto,Distancia a centros de abastecimiento,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Distancia a centros de abastecimiento,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Falta de ingresos,2,0.08460236886632826,dificultades,Semana 2
Municipios capitales y El Alto,Falta de ingresos,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,El horario de salida,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Falta de ingresos,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Algunos productos ya no están disponibles,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Especulación y precios altos,782,33.079526226734345,dificultades,Semana 2
Municipios capitales y El Alto,Ninguna,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Especulación y precios altos,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Falta de ingresos,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,La gente compra más de lo necesario,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Restricción vehicular,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Algunos productos ya no están disponibles,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Restricción vehicular,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Falta de ingresos,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Restricción vehicular,383,16.20135363790186,dificultades,Semana 2
Municipios capitales y El Alto,Especulación y precios altos,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Ninguna,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Ninguna,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Ninguna,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Falta de ingresos,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Algunos productos ya no están disponibles,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Especulación y precios altos,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Largas filas,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Especulación y precios altos,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Falta de ingresos,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Restricción vehicular,403,17.047377326565144,dificultades,Semana 2
Municipios capitales y El Alto,"Salir solo una persona por familia, hay que hacer varias caminatas para traer lo necesario",1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Restricción vehicular,1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,"Si no se cumple con una cantidad de personas que necesitan los mismos productos que tu, no hay disponibilidad de camiones a domicilio",1,0.04230118443316413,dificultades,Semana 2
Municipios capitales y El Alto,Falta de ingresos,1,0.04230118443316413,dificultades,Semana 2
Ciudades intermedias,Algunos productos ya no están disponibles,47,1.988155668358714,dificultades,Semana 2
Ciudades intermedias,Falta de ingresos,1,0.04230118443316413,dificultades,Semana 2
Ciudades intermedias,Especulación y precios altos,70,2.961082910321489,dificultades,Semana 2
Ciudades intermedias,Restricción vehicular,48,2.030456852791878,dificultades,Semana 2
Ciudades intermedias,Restricción vehicular,45,1.903553299492386,dificultades,Semana 2
Ciudades intermedias,Falta de ingresos,1,0.04230118443316413,dificultades,Semana 2
Ciudades intermedias,Distancia a centros de abastecimiento,1,0.04230118443316413,dificultades,Semana 2
Municipios rurales,Algunos productos ya no están disponibles,30,1.2690355329949239,dificultades,Semana 2
Municipios rurales,En el xentro todo esta cerrado,1,0.04230118443316413,dificultades,Semana 2
Municipios rurales,Ninguna,1,0.04230118443316413,dificultades,Semana 2
Municipios rurales,Especulación y precios altos,46,1.94585448392555,dificultades,Semana 2
Municipios rurales,Distancia a centros de abastecimiento,1,0.04230118443316413,dificultades,Semana 2
Municipios rurales,Distancia a centros de abastecimiento,1,0.04230118443316413,dificultades,Semana 2
Municipios rurales,Restricción vehicular,24,1.015228426395939,dificultades,Semana 2
Municipios rurales,Municipio no deja entrar productos de lugares donde se reportó el virus,1,0.04230118443316413,dificultades,Semana 2
Municipios rurales,Restricción vehicular,1,0.04230118443316413,dificultades,Semana 2
Municipios rurales,Restricción vehicular,28,1.1844331641285957,dificultades,Semana 2
Municipios rurales,Falta de ingresos,1,0.04230118443316413,dificultades,Semana 2
