segmento,disponibilidad,n,prop,base,semana
Municipios capitales y El Alto,Cada vez menos,273,51,disponibilidad,Semana 1
Municipios capitales y El Alto,Hay escasez,77,14,disponibilidad,Semana 1
Municipios capitales y El Alto,Normal,176,33,disponibilidad,Semana 1
Municipios capitales y El Alto,Nunca fue normal,9,2,disponibilidad,Semana 1
Ciudades intermedias,Cada vez menos,23,45,disponibilidad,Semana 1
Ciudades intermedias,Hay escasez,13,25,disponibilidad,Semana 1
Ciudades intermedias,Normal,14,27,disponibilidad,Semana 1
Ciudades intermedias,Nunca fue normal,1,3,disponibilidad,Semana 1
Municipios rurales,Cada vez menos,28,44,disponibilidad,Semana 1
Municipios rurales,Hay escasez,16,25,disponibilidad,Semana 1
Municipios rurales,Normal,11,17,disponibilidad,Semana 1
Municipios rurales,Nunca fue normal,8,14,disponibilidad,Semana 1
