segmento,gam,n,prop,base,semana
Ciudades intermedias,Control de precios en mercados,23,19,gam,Semana 2
Ciudades intermedias,Coordinación con actores locales,9,8,gam,Semana 2
Ciudades intermedias,Coordinación con otros niveles de gobierno,7,6,gam,Semana 2
Ciudades intermedias,Coordinación con productores locales,14,12,gam,Semana 2
Ciudades intermedias,Nada,24,20,gam,Semana 2
Ciudades intermedias,No sabe,41,35,gam,Semana 2
Municipios capitales y El Alto,Control de precios en mercados,168,14,gam,Semana 2
Municipios capitales y El Alto,Coordinación con actores locales,96,8,gam,Semana 2
Municipios capitales y El Alto,Coordinación con otros niveles de gobierno,55,5,gam,Semana 2
Municipios capitales y El Alto,Coordinación con productores locales,150,13,gam,Semana 2
Municipios capitales y El Alto,Nada,299,26,gam,Semana 2
Municipios capitales y El Alto,No sabe,402,34,gam,Semana 2
Municipios rurales,Control de precios en mercados,7,10,gam,Semana 2
Municipios rurales,Coordinación con actores locales,6,9,gam,Semana 2
Municipios rurales,Coordinación con otros niveles de gobierno,8,11,gam,Semana 2
Municipios rurales,Coordinación con productores locales,5,7,gam,Semana 2
Municipios rurales,Nada,20,29,gam,Semana 2
Municipios rurales,No sabe,24,34,gam,Semana 2
