departamento,municipio
Beni,Guayaramerín
Beni,Rurrenabaque
Beni,Trinidad
Cbba,Quillacollo
Cbba,Tiquipaya
Cbba,Villa Tunari
Chuquisaca,Presto
Chuquisaca,Sucre
Chuquisaca,Tarabuco
Chuquisaca,Yamparáez
La Paz,Achocalla
La Paz,Apolo
La Paz,Caranavi
La Paz,Coroico
La Paz,El Alto
La Paz,Laja
La Paz,Mecapaca
La Paz,Palca
La Paz,Palos Blancos
La Paz,Pucarani
La Paz,Tiahuanacu
La Paz,Viacha
Oruro,Challapata
Oruro,Oruro
Oruro,Salinas de Garci Mendoza
Pando,Cobija
Potosi,Betanzos
Potosi,Chaquí
Potosi,Potosí
Potosi,Tupiza
Potosi,Urmiri
Santa Cruz,Cotoca
Santa Cruz,Lagunillas
Santa Cruz,San Antonio de Lomerío
Santa Cruz,Santa Cruz de la Sierra
Santa Cruz,Urubichá
Tarija,Bermejo
Tarija,Tarija
Tarija,Villamontes
